hour_utc,no2_ashby_rd_loughborough,pm25_ashby_rd_loughborough,no2_hawcliffe_rd_mountsorrel,pm25_hawcliffe_rd_mountsorrel,pm10_ashby_rd_loughborough,pm1_ashby_rd_loughborough,no_ashby_rd_loughborough,o3_ashby_rd_loughborough,pm10_hawcliffe_rd_mountsorrel,pm1_hawcliffe_rd_mountsorrel,no_hawcliffe_rd_mountsorrel,o3_hawcliffe_rd_mountsorrel
2023-01-01T00:00:00Z,0.57,0.96,,,3.81,0.18,1.0,23.68,,,,
2023-01-01T01:00:00Z,0.87,1.73,,,4.77,0.71,1.36,24.34,,,,
2023-01-01T02:00:00Z,0.17,1.18,,,3.81,0.09,1.0,26.15,,,,
2023-01-01T03:00:00Z,0.72,1.29,,,4.1,0.11,1.55,25.41,,,,
2023-01-01T04:00:00Z,0.98,1.45,,,4.61,0.22,1.16,24.88,,,,
2023-01-01T05:00:00Z,1.67,1.97,,,5.56,0.48,1.38,23.8,,,,
2023-01-01T06:00:00Z,1.31,1.87,,,5.27,0.29,1.47,24.58,,,,
2023-01-01T07:00:00Z,0.71,1.86,,,5.39,0.3,1.2,26.09,,,,
2023-01-01T08:00:00Z,1.03,1.93,,,5.17,0.26,1.66,25.59,,,,
2023-01-01T09:00:00Z,1.34,1.77,7.94,1.82,5.15,0.17,1.26,25.9,5.33,0.47,134.79,0.0
2023-01-01T10:00:00Z,1.76,2.04,47.94,1.84,5.32,0.28,1.62,27.12,5.51,0.28,55.53,0.0
2023-01-01T11:00:00Z,1.75,2.52,48.87,2.21,5.73,0.35,1.1,27.72,5.43,0.33,22.25,0.0
2023-01-01T12:00:00Z,1.83,3.22,42.19,2.36,6.46,0.44,1.42,28.35,5.55,0.36,13.74,0.0
2023-01-01T13:00:00Z,2.56,3.4,35.08,2.88,6.6,0.66,1.39,28.04,5.99,0.64,9.49,0.0
2023-01-01T14:00:00Z,3.61,3.44,28.04,3.18,7.15,0.71,1.0,27.65,6.38,0.77,6.97,0.0
2023-01-01T15:00:00Z,4.92,3.58,24.89,3.22,7.13,0.92,1.59,25.16,6.86,0.83,5.27,0.0
2023-01-01T16:00:00Z,5.24,3.91,22.57,3.46,7.95,1.19,1.25,23.62,7.41,1.19,4.14,0.0
2023-01-01T17:00:00Z,6.22,4.52,23.75,3.42,8.78,1.88,1.13,19.84,7.57,1.37,2.73,0.15
2023-01-01T18:00:00Z,6.79,4.33,21.63,4.12,9.2,1.86,1.45,17.51,8.85,2.15,1.8,3.7
2023-01-01T19:00:00Z,5.99,4.33,15.07,3.22,8.79,2.04,1.36,16.36,7.36,1.43,1.54,10.02
2023-01-01T20:00:00Z,3.18,2.4,11.29,2.04,5.27,0.85,1.38,22.51,4.95,0.61,1.15,20.68
2023-01-01T21:00:00Z,3.64,1.42,13.3,1.72,4.08,0.19,0.8,24.61,4.77,0.72,0.51,34.97
2023-01-01T22:00:00Z,3.46,1.77,12.28,1.65,4.96,0.47,1.14,21.9,5.06,0.84,0.33,34.13
2023-01-01T23:00:00Z,2.83,1.71,10.6,1.72,5.02,0.47,1.32,19.7,5.29,0.92,0.39,38.53
2023-01-02T00:00:00Z,2.52,1.79,8.66,1.84,5.05,0.66,1.54,18.25,5.51,1.04,0.25,39.26
2023-01-02T01:00:00Z,2.53,2.23,6.53,2.03,5.63,1.05,1.4,17.13,5.72,1.31,0.18,41.03
2023-01-02T02:00:00Z,1.83,2.29,4.84,2.26,5.65,1.38,1.29,16.36,6.09,1.55,0.14,42.12
2023-01-02T03:00:00Z,1.52,2.33,2.85,2.21,5.76,1.66,1.47,16.23,6.03,1.55,0.1,33.44
2023-01-02T04:00:00Z,1.77,2.67,4.39,2.24,6.11,2.11,1.51,16.57,6.27,1.6,0.06,44.0
2023-01-02T05:00:00Z,1.71,2.49,3.58,2.07,5.81,1.47,1.57,17.22,5.72,1.46,0.06,52.49
2023-01-02T06:00:00Z,1.72,3.03,0.76,2.42,6.48,2.25,1.29,15.38,5.91,1.59,0.1,55.52
2023-01-02T07:00:00Z,2.73,4.73,1.06,4.22,8.31,3.54,1.39,12.2,8.03,3.25,0.05,52.13
2023-01-02T08:00:00Z,6.56,4.28,3.33,4.53,7.75,3.26,2.11,5.95,8.69,3.64,0.08,47.42
2023-01-02T09:00:00Z,5.9,10.54,0.71,3.88,13.0,9.48,3.09,5.17,7.79,3.13,0.13,54.01
2023-01-02T10:00:00Z,5.96,7.01,2.6,4.05,10.35,6.03,2.97,7.75,7.66,3.32,0.09,50.42
2023-01-02T11:00:00Z,7.58,4.95,2.13,3.91,8.46,3.97,2.83,7.55,7.36,3.14,0.09,51.35
2023-01-02T12:00:00Z,6.05,4.03,1.03,2.74,6.03,2.29,2.58,11.07,5.22,1.51,0.11,51.59
2023-01-02T13:00:00Z,5.34,4.06,0.05,2.59,4.98,1.7,2.76,13.53,4.29,1.1,0.27,51.12
2023-01-02T14:00:00Z,8.06,3.94,0.0,2.73,4.53,1.33,2.71,17.01,4.19,0.85,0.23,51.98
2023-01-02T15:00:00Z,15.68,4.83,2.97,3.82,5.79,2.38,3.76,9.1,6.19,2.33,0.11,55.8
2023-01-02T16:00:00Z,19.71,4.77,4.47,4.46,6.35,2.54,4.84,2.11,7.49,3.3,0.04,49.35
2023-01-02T17:00:00Z,21.14,7.23,7.16,4.52,10.57,5.79,5.52,0.07,8.04,3.65,0.02,48.81
2023-01-02T18:00:00Z,22.87,10.14,11.61,7.67,14.79,8.69,6.59,0.05,12.37,6.83,0.02,38.21
2023-01-02T19:00:00Z,18.11,11.97,16.53,14.2,16.86,10.38,3.82,0.15,21.22,13.24,0.01,28.87
2023-01-02T20:00:00Z,13.1,13.3,21.44,16.48,18.89,11.4,3.88,0.32,24.52,15.48,0.01,20.7
2023-01-02T21:00:00Z,11.44,11.26,18.54,16.96,16.48,9.89,2.86,1.84,25.1,15.86,0.04,23.61
2023-01-02T22:00:00Z,8.96,8.76,12.12,16.29,13.05,7.31,2.76,4.64,23.84,15.17,0.04,33.4
2023-01-02T23:00:00Z,7.92,9.58,13.72,17.06,14.21,8.3,2.96,4.27,25.2,15.82,0.0,35.85
